team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Chicago White Sox,1.1,1.14,1.8,1.3,1.52,1.11,1.12,1.8,1.8,1.06,1.79,1.14,1.77,1.77,1.1,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.06,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9b47a150257e5024dfdb6c2ca3e1ea87,2023-04-16 13:45:00,Chicago White Sox,Baltimore Orioles,0,Sun,AL,16.0,AL,16.0,D,CHI12,Baltimore Orioles,14.0,2023-04-16 13:44:00,13,0,1,Baltimore Orioles,AL,AL,16.0,16.0,1.77,1.297692307692308,36.395969176052105,-100.0,2023-04-16,-200.0,299.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Oakland Athletics,2.2,2.1,2.2,2.22,1.1,2.05,1.09,2.05,1.17,1.22,2.3,1.23,2.23,2.25,2.25,2.2,2.25,2.23,2.25,2.25,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aa03fea0cd8e519cd2f9e1b345c52a23,2023-04-16 15:50:00,Oakland Athletics,New York Mets,0,Sun,NL,16.0,AL,16.0,D,OAK01,New York Mets,140.0,2023-04-16 15:49:00,13,0,1,New York Mets,AL,NL,16.0,16.0,2.25,1.9677272727272728,14.345114345114354,-100.0,2023-04-16,-200.0,199.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,"['Draftkings', 'Fanduel']"
Oakland Athletics,3.75,2.4,4.1,3.4,4.0,3.35,3.8,3.5,3.5,3.3,3.5,3.35,3.8,2.27,3.85,4.1,3.9,3.6,2.18,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d7d63ae401b886dec2b7c14a5486ae19,2023-04-19 13:25:00,Oakland Athletics,Chicago Cubs,0,Wed,NL,18.0,AL,19.0,N,OAK01,Chicago Cubs,48.0,2023-04-19 13:25:00,12,0,1,Chicago Cubs,AL,NL,19.0,18.0,3.85,3.4171428571428573,12.667224080267545,-100.0,2023-04-19,-100.0,99.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Fanduel']
Cincinnati Reds,2.75,2.47,2.42,2.43,2.9,2.45,2.75,2.55,2.6,2.62,2.35,2.7,6.5,6.5,2.85,6.1,2.85,2.75,2.85,5.8,2.6,1.0,2.56,2.42,6.0,3.25,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6b1e804066fae245b737148fb3ac82b9,2023-04-20 15:50:00,Pittsburgh Pirates,Cincinnati Reds,0,Thu,NL,20.0,NL,20.0,N,PIT08,Pittsburgh Pirates,15.0,2023-04-20 15:50:00,15,0,0,Pittsburgh Pirates,NL,NL,20.0,20.0,6.5,3.363928571428572,93.2264571610574,-100.0,2023-04-20,-100.0,-1.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Tampa Bay Rays,3.2,3.25,3.35,3.25,3.3,3.1,2.67,2.55,2.6,3.1,3.2,3.4,3.4,3.6,3.4,3.5,3.6,3.5,3.6,3.2,3.23,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d5cfedb014aedea51886666c3c5d7781,2023-04-21 17:30:00,Tampa Bay Rays,Chicago White Sox,0,Fri,AL,20.0,AL,20.0,N,STP01,Tampa Bay Rays,110.0,2023-04-21 17:30:00,15,1,1,Chicago White Sox,AL,AL,20.0,20.0,3.6,3.231304347826087,11.41011840688914,260.0,2023-04-21,-40.0,259.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Cincinnati Reds,4.9,4.7,1.01,0.0,4.6,0.0,0.0,0.0,0.0,4.25,4.9,4.56,0.0,5.0,4.6,4.33,0.0,0.0,0.0,0.0,5.0,4.6,3.35,0.0,0.0,4.5,3.57,4.0,0.0,4.8,0.0,4.9,0.0,5.1,4.7,4.9,0.0,0.0,0.0,f7b4b11d8a764461b158b42409e94ff9,2023-04-21 17:30:00,Pittsburgh Pirates,Cincinnati Reds,0,Fri,NL,21.0,NL,21.0,N,PIT08,Pittsburgh Pirates,115.0,2023-04-21 17:30:00,15,0,0,Pittsburgh Pirates,NL,NL,21.0,21.0,5.0,4.421363636363637,13.08728282101366,-100.0,2023-04-21,-40.0,159.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Cincinnati Reds,5.5,6.75,1.01,0.0,8.0,0.0,0.0,0.0,0.0,5.25,7.5,7.46,0.0,6.4,7.8,7.0,0.0,0.0,0.0,0.0,7.8,6.5,7.25,0.0,0.0,7.5,7.14,6.0,0.0,5.2,0.0,7.5,0.0,7.5,5.1,7.5,0.0,0.0,0.0,f7b4b11d8a764461b158b42409e94ff9,2023-04-21 17:45:00,Pittsburgh Pirates,Cincinnati Reds,0,Fri,NL,21.0,NL,21.0,N,PIT08,Pittsburgh Pirates,130.0,2023-04-21 17:45:00,15,0,0,Pittsburgh Pirates,NL,NL,21.0,21.0,7.8,6.611818181818182,17.970576103396127,-100.0,2023-04-21,-40.0,59.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Fanduel']
Colorado Rockies,1.69,3.62,3.4,3.62,1.75,3.4,1.69,1.65,1.67,1.67,3.55,3.35,1.77,3.45,1.75,1.8,1.64,1.65,1.65,1.64,1.73,1.65,1.73,1.62,1.65,1.72,1.54,3.4,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b8e1fb496a76dc72352b2446a973f8db,2023-04-21 16:20:00,Philadelphia Phillies,Colorado Rockies,0,Fri,NL,21.0,NL,21.0,N,PHI13,Philadelphia Phillies,15.0,2023-04-21 16:20:00,16,0,0,Philadelphia Phillies,NL,NL,21.0,21.0,3.45,2.2226666666666666,55.21895620875826,-100.0,2023-04-21,-40.0,-41.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Kansas City Royals,1.67,1.7,1.69,2.12,1.62,1.57,2.25,2.25,2.23,2.17,2.25,2.23,2.23,2.25,1.36,3.3,1.67,1.43,1.44,1.79,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a8ce28aa2d9ccb007ee1b34eb40e6703,2023-04-22 19:40:00,Los Angeles Angels,Kansas City Royals,0,Sat,AL,21.0,AL,21.0,N,ANA01,Kansas City Royals,93.0,2023-04-22 19:40:00,18,1,0,Los Angeles Angels,AL,AL,21.0,21.0,2.25,1.9577272727272728,14.929185047596915,125.0,2023-04-22,125.0,84.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Cincinnati Reds,5.1,4.85,4.5,3.65,4.75,5.0,5.0,5.0,5.51,5.58,4.6,8.0,7.5,8.0,7.0,8.0,7.0,7.0,8.0,5.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53807fde2807f88e693728beff633e89,2023-04-23 12:30:00,Pittsburgh Pirates,Cincinnati Reds,0,Sun,NL,23.0,NL,23.0,D,PIT08,Pittsburgh Pirates,115.0,2023-04-23 12:30:00,10,0,0,Pittsburgh Pirates,NL,NL,23.0,23.0,8.0,5.820454545454546,37.4463100351425,-100.0,2023-04-23,-300.0,-16.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
