team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Texas Rangers,5.8,6.5,5.5,4.1,5.75,6.0,6.1,6.03,3.9,4.25,4.25,4.25,3.85,3.9,4.25,4.25,3.7,4.2,1.69,4.12,1.69,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cbab5d3106d100192e603e5ad48ed620,2023-04-04 17:40:00,Texas Rangers,Baltimore Orioles,0,Tue,AL,5.0,AL,5.0,N,ARL03,Baltimore Orioles,35.0,2023-04-04 17:40:00,17,0.0,1,Baltimore Orioles,AL,AL,5.0,5.0,5.8,4.603478260869566,25.991688704193407,-100.0,2023-04-04,-100.0,-290.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Seattle Mariners,2.85,4.3,2.75,2.85,2.7,2.9,2.8,2.9,3.7,2.9,2.95,2.95,2.88,2.95,3.75,2.9,2.95,1.01,3.66,2.43,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ab3dc3eb06314dad7e5a903e4652ab59,2023-04-05 14:50:00,Seattle Mariners,Los Angeles Angels,0,Wed,AL,6.0,AL,7.0,D,SEA03,Los Angeles Angels,99.0,2023-04-05 14:49:00,13,0.0,1,Los Angeles Angels,AL,AL,7.0,6.0,3.75,2.9868181818181823,25.551666413026908,-100.0,2023-04-05,-200.0,-390.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Fanduel']
Baltimore Orioles,5.4,5.3,5.25,3.6,4.9,4.5,2.59,2.7,3.05,4.8,5.1,5.1,4.7,5.1,5.1,4.75,5.1,5.0,4.33,4.75,3.85,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f65edc5c888b4cd6cef9b366249c4b6,2023-04-05 11:25:00,Texas Rangers,Baltimore Orioles,0,Wed,AL,6.0,AL,6.0,D,ARL03,Texas Rangers,20.0,2023-04-05 11:25:00,11,0.0,0,Texas Rangers,AL,AL,6.0,6.0,5.4,4.488695652173913,20.30220844633864,-100.0,2023-04-05,-200.0,-490.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Boston Red Sox,2.95,3.15,3.05,0.0,2.9,0.0,0.0,0.0,0.0,3.2,2.95,1.77,0.0,3.75,3.0,1.8,0.0,0.0,0.0,0.0,0.0,2.85,1.69,0.0,0.0,3.0,1.75,2.9,0.0,2.9,0.0,2.95,0.0,2.95,2.9,2.95,0.0,0.0,0.0,6a27515b00a705dbd7b57bb94e89498a,2023-04-06 10:40:00,Detroit Tigers,Boston Red Sox,0,Thu,AL,7.0,AL,7.0,D,DET05,Boston Red Sox,30.0,2023-04-06 10:40:00,10,1.0,0,Detroit Tigers,AL,AL,7.0,7.0,3.75,2.814761904761905,33.22618846218913,275.0,2023-04-06,275.0,-215.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Draftkings']
Pittsburgh Pirates,5.7,5.0,5.4,4.5,3.8,3.7,4.75,3.76,3.8,4.75,4.1,4.3,4.3,4.1,4.3,4.1,4.3,4.1,4.5,4.21,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9899ffc26e03857f2e66e3737492f036,2023-04-07 14:05:00,Pittsburgh Pirates,Chicago White Sox,0,Fri,AL,8.0,NL,7.0,D,PIT08,Pittsburgh Pirates,51.0,2023-04-07 14:03:00,13,1.0,1,Chicago White Sox,NL,AL,7.0,8.0,5.7,4.306363636363635,32.36225459151366,470.0,2023-04-07,405.0,255.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Pittsburgh Pirates,2.35,2.05,2.25,2.25,2.12,2.05,2.4,2.0,2.1,2.35,2.08,2.12,2.1,2.05,2.1,2.1,2.1,2.07,1.96,2.01,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9899ffc26e03857f2e66e3737492f036,2023-04-07 14:35:00,Pittsburgh Pirates,Chicago White Sox,0,Fri,AL,8.0,NL,7.0,D,PIT08,Pittsburgh Pirates,81.0,2023-04-07 14:33:00,13,1.0,1,Chicago White Sox,NL,AL,7.0,8.0,2.35,2.115,11.111111111111107,135.0,2023-04-07,405.0,390.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Chicago White Sox,1.91,1.62,1.85,1.8,1.93,1.91,1.25,1.4,1.9,1.36,1.23,1.23,1.23,1.22,1.23,1.23,1.23,1.23,1.69,1.33,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9899ffc26e03857f2e66e3737492f036,2023-04-07 14:20:00,Pittsburgh Pirates,Chicago White Sox,0,Fri,AL,8.0,NL,7.0,D,PIT08,Pittsburgh Pirates,67.0,2023-04-07 14:19:00,13,0.0,0,Pittsburgh Pirates,AL,NL,8.0,7.0,1.91,1.5472727272727276,23.4430082256169,-100.0,2023-04-07,405.0,290.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Oakland Athletics,3.5,3.1,3.4,3.3,3.4,3.7,3.7,3.17,2.15,3.6,3.7,2.35,3.7,3.5,3.7,3.7,3.8,3.6,2.51,2.48,3.8,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178e901cb3469814353d71b5ba505e17,2023-04-07 16:05:00,Tampa Bay Rays,Oakland Athletics,0,Fri,AL,7.0,AL,7.0,N,STP01,Tampa Bay Rays,24.0,2023-04-07 16:04:00,15,0.0,0,Tampa Bay Rays,AL,AL,7.0,7.0,3.7,3.336521739130436,10.89392754756318,-100.0,2023-04-07,405.0,190.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Fanduel']
Miami Marlins,4.5,4.45,4.0,4.0,3.28,3.05,4.5,4.5,4.25,4.4,4.4,3.8,4.4,4.4,4.2,4.4,4.2,4.33,3.75,2.39,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777791008113e55c407917f08930eee8,2023-04-08 13:55:00,New York Mets,Miami Marlins,0,Sat,NL,9.0,NL,9.0,D,NYC20,New York Mets,44.0,2023-04-08 13:54:00,13,0.0,0,New York Mets,NL,NL,9.0,9.0,4.5,4.065,10.701107011070109,-100.0,2023-04-08,-100.0,90.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
Boston Red Sox,2.5,2.2,2.45,2.25,2.3,2.3,2.25,2.25,1.83,2.05,1.85,2.3,2.31,2.28,2.28,2.28,2.23,2.25,2.28,2.25,2.28,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,acbccba1337fd15eb4be24b26f248350,2023-04-09 10:35:00,Detroit Tigers,Boston Red Sox,0,Sun,AL,9.0,AL,9.0,D,DET05,Boston Red Sox,25.0,2023-04-09 10:35:00,10,1.0,0,Detroit Tigers,AL,AL,9.0,9.0,2.5,2.2491304347826087,11.154069205490051,150.0,2023-04-09,150.0,240.0,1166.0,4.318518518518519,0.3111111111111111,1440.0,-700.0,270.0,4.3,['Barstool']
