team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Pittsburgh Pirates,5.5,5.4,4.3,0.0,4.5,0.0,0.0,0.0,0.0,5.25,5.5,4.3,0.0,5.1,5.7,4.33,0.0,0.0,0.0,0.0,0.0,5.1,2.22,0.0,0.0,5.5,5.38,5.0,0.0,5.25,0.0,5.5,0.0,5.5,5.2,5.5,0.0,0.0,0.0,73d1c521df85154205d3fb84ade0d73f,2023-04-12 11:15:00,Pittsburgh Pirates,Houston Astros,0,Wed,AL,13.0,NL,12.0,N,PIT08,Houston Astros,99.0,2023-04-12 11:14:00,9,0,1,Houston Astros,NL,AL,12.0,13.0,5.7,5.034761904761905,13.212900785018434,-100.0,2023-04-12,-100.0,494.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Toronto Blue Jays,4.7,2.6,2.66,0.0,4.5,0.0,0.0,0.0,0.0,4.2,4.7,2.87,0.0,4.5,2.94,2.4,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,3.0,2.99,4.3,0.0,4.4,0.0,4.7,0.0,4.7,4.4,4.7,0.0,0.0,0.0,a64eed6ab7350711d592e6e6d1ae3b1c,2023-04-13 18:35:00,Toronto Blue Jays,Detroit Tigers,0,Thu,AL,12.0,AL,13.0,N,TOR02,Detroit Tigers,148.0,2023-04-13 18:35:00,16,0,1,Detroit Tigers,AL,AL,13.0,12.0,4.5,3.905500000000001,15.222122647548318,-100.0,2023-04-13,-300.0,394.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
St. Louis Cardinals,4.8,4.85,4.75,3.41,4.75,5.1,5.0,5.0,4.33,4.81,5.0,1.11,5.5,6.0,6.0,5.6,6.0,6.0,6.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549d3b981322871ccbe3db7c70486054,2023-04-13 18:45:00,St. Louis Cardinals,Pittsburgh Pirates,0,Thu,NL,13.0,NL,13.0,N,STL10,Pittsburgh Pirates,120.0,2023-04-13 18:45:00,16,0,1,Pittsburgh Pirates,NL,NL,13.0,13.0,6.0,5.019523809523809,19.533251114695005,-100.0,2023-04-13,-300.0,294.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,"['Draftkings', 'Fanduel']"
New York Yankees,2.4,1.73,1.73,2.2,1.67,2.0,1.71,1.74,1.71,2.44,2.38,2.3,2.2,2.45,1.7,2.1,1.72,1.96,1.27,2.23,2.25,2.25,2.25,2.25,2.2,2.25,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2bf87d2a588be5d6ebd818e2d8c71096,2023-04-13 16:20:00,New York Yankees,Minnesota Twins,0,Thu,AL,13.0,AL,13.0,N,NYC21,Minnesota Twins,15.0,2023-04-13 16:20:00,16,0,1,Minnesota Twins,AL,AL,13.0,13.0,2.45,2.0614285714285714,18.849618849618864,-100.0,2023-04-13,-300.0,194.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Minnesota Twins,5.25,4.65,4.2,0.0,4.4,0.0,0.0,0.0,0.0,4.4,5.25,4.04,0.0,5.3,4.7,3.8,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,4.5,2.34,4.5,0.0,5.0,0.0,5.25,0.0,5.3,5.0,5.3,2.15,0.0,0.0,a2054166a889c94f361bcd84d6f775a8,2023-04-15 10:45:00,New York Yankees,Minnesota Twins,0,Sat,AL,15.0,AL,15.0,D,NYC21,New York Yankees,35.0,2023-04-15 10:43:00,10,0,0,New York Yankees,AL,AL,15.0,15.0,5.3,4.549047619047618,16.507903276457668,-100.0,2023-04-15,-100.0,94.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Milwaukee Brewers,5.3,5.4,5.1,5.0,5.25,5.0,6.1,6.5,6.5,6.0,6.5,6.5,6.0,6.5,5.36,5.25,5.43,5.8,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9432e96bb2cd6718b9022ad409f3a98a,2023-04-19 14:20:00,Seattle Mariners,Milwaukee Brewers,0,Wed,NL,19.0,AL,19.0,D,SEA03,Milwaukee Brewers,70.0,2023-04-19 14:20:00,13,1,0,Seattle Mariners,NL,AL,19.0,19.0,6.5,5.737619047619047,13.287409743547215,550.0,2023-04-19,550.0,644.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Milwaukee Brewers,6.3,6.25,6.2,6.0,4.75,5.46,3.6,2.55,5.25,7.0,7.0,7.0,6.4,7.0,6.4,6.25,7.0,6.94,5.5,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a9a903caee2a0e57db4974c0147bebbf,2023-04-21 19:20:00,Milwaukee Brewers,Boston Red Sox,0,Fri,AL,21.0,NL,20.0,N,MIL06,Boston Red Sox,130.0,2023-04-21 19:20:00,17,0,1,Boston Red Sox,NL,AL,20.0,21.0,7.0,5.970454545454547,17.24400456794821,-100.0,2023-04-21,-100.0,544.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Kansas City Royals,2.2,2.7,2.15,2.16,2.24,2.3,2.02,2.02,2.0,1.95,2.0,1.97,2.0,2.02,2.6,2.65,2.15,2.41,2.2,2.56,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a8ce28aa2d9ccb007ee1b34eb40e6703,2023-04-22 20:00:00,Los Angeles Angels,Kansas City Royals,0,Sat,AL,21.0,AL,21.0,N,ANA01,Kansas City Royals,113.0,2023-04-22 20:00:00,18,1,0,Los Angeles Angels,AL,AL,21.0,21.0,2.6,2.243181818181818,15.90678824721379,160.0,2023-04-22,60.0,704.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Colorado Rockies,6.1,3.5,3.48,4.75,5.1,5.0,4.33,3.85,1.0,7.0,7.0,6.5,6.4,7.0,7.0,7.0,6.25,6.75,5.58,5.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32f0cafa8bc9bb71489dba46abc08c51,2023-04-22 14:05:00,Philadelphia Phillies,Colorado Rockies,0,Sat,NL,22.0,NL,22.0,D,PHI13,Philadelphia Phillies,120.0,2023-04-22 14:05:00,12,0,0,Philadelphia Phillies,NL,NL,22.0,22.0,7.0,5.300909090909091,32.052821128451384,-100.0,2023-04-22,60.0,604.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,"['Draftkings', 'Fanduel']"
Cincinnati Reds,2.75,3.3,2.88,3.2,2.8,2.8,2.8,2.94,3.4,2.9,3.4,4.6,4.6,4.6,4.35,4.6,4.25,4.35,4.6,2.88,3.35,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53807fde2807f88e693728beff633e89,2023-04-23 11:55:00,Pittsburgh Pirates,Cincinnati Reds,0,Sun,NL,23.0,NL,23.0,D,PIT08,Pittsburgh Pirates,80.0,2023-04-23 11:55:00,10,0,0,Pittsburgh Pirates,NL,NL,23.0,23.0,4.6,3.615217391304348,27.23992784125076,-100.0,2023-04-23,-100.0,504.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
