team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Tampa Bay Rays,3.35,3.5,2.7,3.3,3.3,2.62,2.88,2.55,2.8,2.88,2.88,2.75,2.88,2.88,2.8,2.88,1.01,2.88,2.79,1.57,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e0d5f923424651e4835421d4c48db29,2023-04-04 17:55:00,Washington Nationals,Tampa Bay Rays,0,Tue,AL,5.0,NL,5.0,N,WAS11,Tampa Bay Rays,110.0,2023-04-04 17:55:00,16,1.0,0,Washington Nationals,AL,NL,5.0,5.0,3.3,2.777272727272728,18.821603927986885,230.0,2023-04-04,230.0,382.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Boston Red Sox,2.02,1.85,2.08,0.0,1.87,1.76,1.71,1.76,0.0,0.0,2.02,1.8,1.7,2.05,1.98,1.85,0.0,1.7,1.76,1.7,0.0,1.97,1.69,0.0,0.0,1.95,1.74,1.91,0.0,2.0,1.72,2.02,0.0,2.02,2.0,1.85,1.71,1.71,1.74,6a27515b00a705dbd7b57bb94e89498a,2023-04-06 10:20:00,Detroit Tigers,Boston Red Sox,0,Thu,AL,7.0,AL,7.0,D,DET05,Boston Red Sox,9.0,2023-04-06 10:19:00,10,1.0,0,Detroit Tigers,AL,AL,7.0,7.0,2.05,1.860967741935484,10.157739642919026,105.0,2023-04-06,105.0,487.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Draftkings']
Boston Red Sox,1.01,1.03,1.03,1.02,1.03,1.03,1.01,1.03,1.04,1.01,1.23,1.27,1.01,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546308e91b05ead2ad6e6db88f94c286,2023-04-08 13:50:00,Detroit Tigers,Boston Red Sox,0,Sat,AL,8.0,AL,8.0,D,DET05,Boston Red Sox,38.0,2023-04-08 13:48:00,13,1.0,0,Detroit Tigers,AL,AL,8.0,8.0,1.74,1.1486666666666667,51.47997678467787,74.0,2023-04-08,74.0,561.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Draftkings']
New York Mets,2.8,2.05,2.6,3.05,2.15,2.12,2.91,1.71,3.36,2.86,2.05,2.07,2.07,2.07,1.96,2.0,2.07,2.02,2.1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a718064e33a3df61782dfd40ef219cdf,2023-04-09 11:50:00,New York Mets,Miami Marlins,0,Sun,NL,10.0,NL,10.0,D,NYC20,Miami Marlins,69.0,2023-04-09 11:49:00,10,0.0,1,Miami Marlins,NL,NL,10.0,10.0,2.86,2.3609523809523814,21.137555465913657,-100.0,2023-04-09,-100.0,461.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Bovada']
Pittsburgh Pirates,3.35,3.95,4.0,2.61,3.75,2.6,3.06,4.2,4.1,4.0,3.2,3.2,3.2,3.8,3.95,3.95,3.95,3.75,3.8,3.95,3.95,3.55,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55ecc9763564b5aa5ff59deff7fd5322,2023-04-10 15:55:00,Pittsburgh Pirates,Houston Astros,0,Mon,AL,11.0,NL,10.0,N,PIT08,Houston Astros,20.0,2023-04-10 15:55:00,15,0.0,1,Houston Astros,NL,AL,10.0,11.0,4.0,3.5995833333333334,11.123972682023378,-100.0,2023-04-10,-45.0,361.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Bovada']
Texas Rangers,1.32,1.35,1.27,1.31,1.55,1.29,1.29,1.57,1.3,1.33,1.33,1.33,1.29,1.29,1.29,1.29,1.28,1.29,1.29,1.29,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b1583ac4700cd5f7800d9c1784d2feea,2023-04-10 17:55:00,Texas Rangers,Kansas City Royals,0,Mon,AL,11.0,AL,10.0,N,ARL03,Texas Rangers,50.0,2023-04-10 17:55:00,17,1.0,1,Kansas City Royals,AL,AL,10.0,11.0,1.55,1.342272727272727,15.475787334913672,55.0,2023-04-10,-45.0,416.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Miami Marlins,1.25,1.27,1.29,1.21,1.56,1.22,1.22,1.2,1.27,1.24,1.24,1.24,1.23,1.24,1.24,1.24,1.24,1.32,1.55,1.22,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ce190c0a8cd4e2f1a3515ce5ba630be9,2023-04-11 17:05:00,Philadelphia Phillies,Miami Marlins,0,Tue,NL,12.0,NL,11.0,N,PHI13,Miami Marlins,85.0,2023-04-11 17:05:00,15,1.0,0,Philadelphia Phillies,NL,NL,12.0,11.0,1.56,1.329545454545454,17.333333333333368,56.0,2023-04-11,190.0,472.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Miami Marlins,1.13,1.12,1.14,1.11,1.56,1.11,1.11,1.11,1.14,1.12,1.12,1.12,1.11,1.12,1.12,1.12,1.12,1.2,1.55,1.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ce190c0a8cd4e2f1a3515ce5ba630be9,2023-04-11 17:10:00,Philadelphia Phillies,Miami Marlins,0,Tue,NL,12.0,NL,11.0,N,PHI13,Miami Marlins,90.0,2023-04-11 17:10:00,15,1.0,0,Philadelphia Phillies,NL,NL,12.0,11.0,1.56,1.2313636363636369,26.688815060908045,56.0,2023-04-11,190.0,528.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Minnesota Twins,1.31,1.16,1.0,1.15,1.78,1.2,1.22,1.15,1.65,1.14,1.14,1.14,1.13,1.14,1.14,1.14,1.14,1.23,1.8,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0dc9f8a28d1f8f4353ac98642a89ae36,2023-04-11 19:10:00,Minnesota Twins,Chicago White Sox,0,Tue,AL,12.0,AL,11.0,N,MIN04,Minnesota Twins,149.0,2023-04-11 19:09:00,16,1.0,1,Chicago White Sox,AL,AL,11.0,12.0,1.78,1.2742857142857145,39.68609865470851,78.0,2023-04-11,190.0,606.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Tampa Bay Rays,1.01,1.0,1.0,1.01,1.41,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5a4d24e063a76ea4c27f6e530d157753,2023-04-13 12:20:00,Tampa Bay Rays,Boston Red Sox,0,Thu,AL,13.0,AL,13.0,D,STP01,Tampa Bay Rays,130.0,2023-04-13 12:19:00,10,1.0,1,Boston Red Sox,AL,AL,13.0,13.0,1.41,1.1242857142857143,25.41296060991105,41.0,2023-04-13,41.0,647.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Betmgm']
Milwaukee Brewers,1.71,2.57,2.5,1.76,1.75,1.77,2.5,2.5,2.4,2.55,2.38,1.75,2.52,2.45,2.53,2.55,2.56,2.49,1.8,2.4,2.53,2.49,1.75,2.48,1.76,1.76,1.76,1.73,1.76,1.75,1.76,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a6d590028af05800c321eb0409ef9e24,2023-04-14 18:45:00,San Diego Padres,Milwaukee Brewers,0,Fri,NL,14.0,NL,15.0,N,SAN02,Milwaukee Brewers,5.0,2023-04-14 18:45:00,18,1.0,0,San Diego Padres,NL,NL,14.0,15.0,2.55,2.1787878787878783,17.03755215577192,155.0,2023-04-14,155.0,802.0,4042.0,27.496598639455783,0.5238095238095238,612.0,-400.0,147.0,27.5,['Bovada']
